Date,RELIANCE.NS
2022-01-04,0.022568120309143236
2022-01-05,0.0046783256821907315
2022-01-06,-0.021501453885797273
2022-01-07,0.00806958454062734
2022-01-10,0.0008210271947775016
2022-01-11,0.0071985346095710945
2022-01-12,0.026694640127932434
2022-01-13,0.005632471298126607
2022-01-14,0.0014593301789820323
2022-01-17,0.005218502883078013
2022-01-18,-0.011930638924759318
2022-01-19,-7.925612857317965e-05
2022-01-20,-0.017508587736413395
2022-01-21,0.0001613498288446369
2022-01-24,-0.04033744607968548
2022-01-25,-0.0019555429596109786
2022-01-27,-0.014810895990251205
2022-01-28,-0.0009622302261459437
2022-01-31,0.021726621448286743
2022-02-01,-0.0033101568769529077
2022-02-02,0.002038796342099136
2022-02-03,-0.012921821992095794
2022-02-04,-0.009116992471189134
2022-02-07,-0.00609091737646239
2022-02-08,0.016809628923357245
2022-02-09,0.011650887181826386
2022-02-10,-0.001027756864084295
2022-02-11,-0.0019530682235326946
2022-02-14,-0.015927306734799918
2022-02-15,0.03395263586646968
2022-02-16,-0.002067945742553756
2022-02-17,0.01266075550487078
2022-02-18,-0.007816497153505186
2022-02-21,-0.010105621969422773
2022-02-22,-0.004541934249157831
2022-02-23,-0.006257792060055056
2022-02-24,-0.04983053218645406
2022-02-25,0.012501465828533842
2022-02-28,0.03310044754525521
2022-03-02,0.016528590159729406
2022-03-03,-0.008442485567074276
2022-03-04,-0.022179657902440142
2022-03-07,-0.03698056110060555
2022-03-08,-0.0018084939439351189
2022-03-09,0.05305294193393695
2022-03-10,0.016205822827596528
2022-03-11,0.0028843742724580235
2022-03-14,0.008211137267671642
2022-03-15,-0.022903315180006767
2022-03-16,0.01688214598925586
2022-03-17,0.0326002847833784
2022-03-21,-0.0057622161295350915
2022-03-22,0.025837078976041594
2022-03-23,0.0031801557602220143
2022-03-24,0.015536470964615967
2022-03-25,0.006670126992717629
2022-03-28,0.010054544667211562
2022-03-29,0.0002287886989023047
2022-03-30,0.019218048976998192
2022-03-31,-0.01429143384162157
2022-04-01,0.00800841387482909
2022-04-04,0.0029557846496579554
2022-04-05,-0.014134593071974622
2022-04-06,-0.002665476970303504
2022-04-07,-0.01764002523559527
2022-04-08,0.016635329094558227
2022-04-11,-0.0020836478720226426
2022-04-12,-0.018830118528219586
2022-04-13,-0.0036703582899469955
2022-04-18,-0.0030568271891709964
2022-04-19,0.03811151438579774
2022-04-20,0.029403954214529238
2022-04-21,0.023414105465666468
2022-04-22,-0.008374893275534201
2022-04-25,-0.02312601007087889
2022-04-26,0.02992563536651871
2022-04-27,0.0009728285553258775
2022-04-28,0.014936969061190908
2022-04-29,-0.010497033833723024
2022-05-02,-0.0035122211431116712
2022-05-04,-0.031218026378201813
2022-05-05,-0.019583150904918023
2022-05-06,-0.007667736303013317
2022-05-09,-0.03905515805922055
2022-05-10,-0.017333167569684393
2022-05-11,-0.010243865156212117
2022-05-12,-0.020373148453218026
2022-05-13,0.011336069870245602
2022-05-16,0.0002473175936008598
2022-05-17,0.04200308888178306
2022-05-18,0.0036376265062503244
2022-05-19,-0.023046433824998158
2022-05-20,0.05830992418703751
2022-05-23,-0.006687024049407242
2022-05-24,0.0034331188114329336
2022-05-25,-0.0014717236252768107
2022-05-26,-0.009532953674984745
2022-05-27,-0.004638449793369692
2022-05-30,0.034833597226589186
2022-05-31,-0.01206471684943744
2022-06-01,0.00032303780265818816
2022-06-02,0.03447870131433928
2022-06-03,0.02026211469253436
2022-06-06,-0.004299418433775792
2022-06-07,0.0018790361738698635
2022-06-08,-0.017563864309453336
2022-06-09,0.027422390255927187
2022-06-10,-0.03019193222844907
2022-06-13,-0.018918669144941003
2022-06-14,-0.013068603696408831
2022-06-15,-0.012099978634426467
2022-06-16,-0.013981359014631711
2022-06-17,0.011718775380427315
2022-06-20,-0.018127393926612445
2022-06-21,0.016142014960469853
2022-06-22,-0.030378132511970857
2022-06-23,-0.016223745974097148
2022-06-24,0.014239772363903391
2022-06-27,-0.0029599199813967747
2022-06-28,0.014061186600295983
2022-06-29,0.020750175973073715
2022-06-30,0.006007547568459781
2022-07-01,-0.07202440388958176
2022-07-04,0.0020756644052959405
2022-07-05,0.00809961936057113
2022-07-06,-0.008794754658241977
2022-07-07,-0.009847308213694839
2022-07-08,0.001382007591268275
2022-07-11,0.013590319329088718
2022-07-12,-0.0014234663536317749
2022-07-13,-0.017723871291533744
2022-07-14,0.008243759266161277
2022-07-15,0.0019398391342539956
2022-07-18,0.008514388541442042
2022-07-19,0.006130690600648858
2022-07-20,0.027040388525602088
2022-07-21,-0.006672040827329195
2022-07-22,0.006756995893210549
2022-07-25,-0.033038945248875184
2022-07-26,0.00045444766264823855
2022-07-27,-0.0009498073407820939
2022-07-28,0.015666260196321113
2022-07-29,0.021305664601389385
2022-08-01,0.02606140281387237
2022-08-02,0.003806037438763621
2022-08-03,0.008395633253496015
2022-08-04,-0.013217520015316397
2022-08-05,-0.014736220187842486
2022-08-08,0.01308205704799592
2022-08-10,0.005979551559759155
2022-08-11,0.00332988336058726
2022-08-12,0.01617079011581546
2022-08-16,0.006950298938355637
2022-08-17,0.0052238219231739436
2022-08-18,0.0018135264755134717
2022-08-19,-0.017829733411091286
2022-08-22,-0.002773661185705323
2022-08-23,0.015422416830072727
2022-08-24,-0.0026635611319306696
2022-08-25,-0.0029170363696572332
2022-08-26,-0.005337977237729663
2022-08-29,-0.007773081304953466
2022-08-30,0.015514052845183146
2022-09-01,-0.029397871166268574
2022-09-02,-0.011677899479933251
2022-09-05,0.01553062529449889
